Yum!| NULL| positive
Mama Mia – I live in the neighborhood and feel lucky to live by such a great pizza place.| pizza place| positive
the only problem is you really have to warm up the pizza before it&apos;s edible, even when you order ahead.| pizza| negative
BUt once done, it&apos;s not too much dough, not too much cheese, not too much sauce.| NULL| positive
Best Sushi in town.| Sushi| positive
Have gone to all the top places.| NULL| NULL
Everything you want and more, very fresh.| NULL| positive
Everything you want and more, very fresh.| NULL| positive
Its worth the wait, especially since they&apos;ll give you a call when the table is ready.| NULL| positive
Its worth the wait, especially since they&apos;ll give you a call when the table is ready.| NULL| positive
The best calamari in Seattle!| calamari| positive
– ...and the best summertime deck experience--they will even bring you a blanket if you get cold in the Seattle evening weather.| deck| positive
– ...and the best summertime deck experience--they will even bring you a blanket if you get cold in the Seattle evening weather.| NULL| positive
A perfect place to take out of town guests any time of the year.| place| positive
Endless fun, awesome music, great staff!!!| music| positive
Endless fun, awesome music, great staff!!!| staff| positive
Endless fun, awesome music, great staff!!!| NULL| positive
– By far the best bar in the east village...| bar| positive
I went there with some friends one night to play bingo and watch the sox game and it was a blast!| NULL| positive
Every time &quot;0-sixtynine&quot; is called the bartender buys everyone drinks!| bartender| positive
Been there lots since and its always a good time.| NULL| positive
Great draft and bottle selection and the pizza rocks.| pizza| positive
Great draft and bottle selection and the pizza rocks.| draft and bottle selection| positive
Definitely has one of the best jukebox&apos;s i&apos;ve seen in a long long time.| jukebox&apos;s| positive
I FOUND A NEW HOME ON SECOND AVENUE!!!!!!!!!!!!| NULL| positive
– Where can I begin.| NULL| NULL
I can&apos;t!!!| NULL| NULL
Just go there and see for yourself.| NULL| positive
The food is great, the bartenders go that extra mile.| food| positive
The food is great, the bartenders go that extra mile.| bartenders| positive
You need to watch your game, they will have it on for you.| NULL| positive
The owners are great fun and the beer selection is worth staying for.| owners| positive
The owners are great fun and the beer selection is worth staying for.| beer selection| positive
And the upstairs is a great place to hang out.| upstairs| positive
Not alot of smoking places left in New York, but I have found my favorite smoking balconey in the city.| balconey| positive
Kudos to these guys.| NULL| positive
I found a new home and just moved with a long lease.| NULL| positive
Thank you| NULL| NULL
Go Beyond the California Rolls... | NULL| NULL
The sushi here is delicious!| sushi| positive
They have a wide variety of fish and they even list which oceans they come from; Atlantic or Pacific.| fish| positive
I&apos;ve had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.| Jellyfish| positive
I&apos;ve had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.| Horse Mackerel| positive
I&apos;ve had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.| Blue Fin Tuna| positive
I&apos;ve had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.| Sake Ikura roll| positive
My only negative comment is that I wish the pieces were a little bigger.| pieces| negative
The decor is rustic, traditional Japanese.| decor| neutral
The crowd is mixed yuppies, young and old.| crowd| neutral
The service was courteous and attentive.| service| positive
Mediocre food| food| neutral
– We ate on the outside patio area for dinner on a Saturday night.| NULL| NULL
The outside patio area has an abbreviated menu.| menu| neutral
We ordered the marinated grapes, buffalo style chicken wings, and the turkey sandwich.| NULL| NULL
My g/f and I both agreed the food was very mediocre especially considering the price.| food| negative
My g/f and I both agreed the food was very mediocre especially considering the price.| food| negative
We are locals, and get the feeling the only way this place survives with such average food is because most customers are probably one-time customer tourists.| food| negative
We are locals, and get the feeling the only way this place survives with such average food is because most customers are probably one-time customer tourists.| place| negative
Service was decent.| Service| neutral
Drinks were good.| Drinks| positive
Unless you are just stopping in for a few drinks I wouldn&apos;t recommend going here.| drinks| positive
Unless you are just stopping in for a few drinks I wouldn&apos;t recommend going here.| NULL| negative
You are likely to be disappointed.| NULL| negative
Excellent food, nice ambience, fairly expensive| food| positive
Excellent food, nice ambience, fairly expensive| ambience| positive
Excellent food, nice ambience, fairly expensive| NULL| negative
– I loved the pumpkin ravioli and the goat cheese gnocchi (5 big ones to a plate instead of 20 or so little gnocchis) and my sister loved her filet mignon on top of spinach and mashed potatoes.| pumpkin ravioli| positive
– I loved the pumpkin ravioli and the goat cheese gnocchi (5 big ones to a plate instead of 20 or so little gnocchis) and my sister loved her filet mignon on top of spinach and mashed potatoes.| goat cheese gnocchi| positive
– I loved the pumpkin ravioli and the goat cheese gnocchi (5 big ones to a plate instead of 20 or so little gnocchis) and my sister loved her filet mignon on top of spinach and mashed potatoes.| goat cheese gnocchi| positive
– I loved the pumpkin ravioli and the goat cheese gnocchi (5 big ones to a plate instead of 20 or so little gnocchis) and my sister loved her filet mignon on top of spinach and mashed potatoes.| filet mignon on top of spinach and mashed potatoes| positive
The ambiance was a peaceful and relaxing break amongst all the kids running around in Downtown Disney.| ambiance| positive
It was romantic - and even nice even with my sister, reminded me of Italy, and had artwork and music that kept up the feeling of being in a Mediterrean villa.| NULL| positive
It was romantic - and even nice even with my sister, reminded me of Italy, and had artwork and music that kept up the feeling of being in a Mediterrean villa.| artwork| positive
It was romantic - and even nice even with my sister, reminded me of Italy, and had artwork and music that kept up the feeling of being in a Mediterrean villa.| music| positive
I recommend it for a night when you want to splurge! (it was a bit expensive)| NULL| positive
I recommend it for a night when you want to splurge! (it was a bit expensive)| NULL| negative
Best Indian food in L.A.| Indian food| positive
– I&apos;ve been to over a dozen Indian places in L.A., and this is still my favorite.| NULL| NULL
The best thing is, the prices are also quite reasonable.| NULL| positive
The chicken curry and chicken tikka masala are my favorite meat dishes.| chicken curry| positive
The chicken curry and chicken tikka masala are my favorite meat dishes.| chicken tikka masala| positive
The chana masala (garbanzo beans) are also excellent.| chana masala (garbanzo beans)| positive
It&apos;s located in a strip mall near the Beverly Center, not the greatest location, but the food keeps me coming back for more.| location| neutral
It&apos;s located in a strip mall near the Beverly Center, not the greatest location, but the food keeps me coming back for more.| food| positive
hidden little jem| NULL| positive
– tucked away over by the Beverly Center.| NULL| neutral
Never too crowded and always great service.| service| positive
Never too crowded and always great service.| NULL| positive
I think I have probably tried each item on their menu at least once it is all excellent.| menu| positive
I can highly recommend their various saag and paneer and korma.| saag| positive
I can highly recommend their various saag and paneer and korma.| paneer| positive
I can highly recommend their various saag and paneer and korma.| korma| positive
You routinely see Indian families and friends dining there, which is always a good sign.| NULL| positive
I appreciate their delivery too.| delivery| positive
Nice food but no spice!| food| positive
Nice food but no spice!| food| negative
– I really enjoyed my meal here.| meal| positive
I had yummy lamb korma, saag paneer, samosas, naan, etc.| lamb korma| positive
I had yummy lamb korma, saag paneer, samosas, naan, etc.| saag paneer| positive
I had yummy lamb korma, saag paneer, samosas, naan, etc.| samosas| positive
I had yummy lamb korma, saag paneer, samosas, naan, etc.| naan| positive
The food was all good but it was way too mild.| food| positive
The food was all good but it was way too mild.| food| negative
Normally, places ask how hot you want it, but they didn&apos;t.| NULL| negative
I should have thought to bring it up but never expected the food to be that mild.| food| negative
I will give them another chance and make sure to tell them to kick it up several notches.| NULL| NULL
The naan was some of the best I&apos;ve had and I really enjoyed the bhartha, not too tomatoey.| naan| positive
The naan was some of the best I&apos;ve had and I really enjoyed the bhartha, not too tomatoey.| bhartha| positive
Even the chickpeas, which I normally find too dry, were good.| chickpeas| positive
And they packaged everything nicely so it didn&apos;t spill.| NULL| positive
awesome find| NULL| positive
– I don&apos;t understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas - EVERYTHING is delicious.| fajita salad| positive
– I don&apos;t understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas - EVERYTHING is delicious.| colorado| positive
– I don&apos;t understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas - EVERYTHING is delicious.| fajitas| positive
– I don&apos;t understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas - EVERYTHING is delicious.| NULL| positive
– I don&apos;t understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas - EVERYTHING is delicious.| place| positive
I love the warm &amp; cosy environment.| environment| positive
I just found out that you can have the place to yourself on nights and weekends for a private party - can&apos;t wait to celebrate my next birthday there.| place| positive
best restaurant in the world, great decor, great customer service, friendly manager| restaurant| positive
best restaurant in the world, great decor, great customer service, friendly manager| decor| positive
best restaurant in the world, great decor, great customer service, friendly manager| customer service| positive
best restaurant in the world, great decor, great customer service, friendly manager| manager| positive
– first of all henrymillionare you dont know a thing about middle eastern food so dont talk.| NULL| NULL
Cry me a river, stop complaining you obviously you have no taste in food.| NULL| NULL
i am never disappointed with there food.| food| positive
the atmosphere is great.| atmosphere| positive
and all you other people that have a problem get some help| NULL| NULL
great lunch spot| lunch spot| positive
– Great financial district mexican spot.| mexican spot| positive
Always busy, but they are good at seating you promptly and have quick service.| service| positive
Always busy, but they are good at seating you promptly and have quick service.| NULL| positive
Everything I&apos;ve had here is good, taco salads, burritos, enchiladas i love this place.| taco salads| positive
Everything I&apos;ve had here is good, taco salads, burritos, enchiladas i love this place.| burritos| positive
Everything I&apos;ve had here is good, taco salads, burritos, enchiladas i love this place.| enchiladas| positive
Everything I&apos;ve had here is good, taco salads, burritos, enchiladas i love this place.| place| positive
Everything I&apos;ve had here is good, taco salads, burritos, enchiladas i love this place.| NULL| positive
Also have great margaritas!| margaritas| positive
You can order to go if you have to get back to the office too!| NULL| positive
Lebanese Food!Yum!| Lebanese Food| positive
– I&apos;ve been to Open Sesame only once, but I&apos;m still reeling from the experience!!| Open Sesame| positive
The food is simply unforgettable!| food| positive
I had the beef kabobs with a side of cucumber yogurt.| NULL| NULL
The presentation of the food was an added bonus, it looked just as great as it tasted!| food| positive
The presentation of the food was an added bonus, it looked just as great as it tasted!| food| positive
My best friend had the chicken shawarma and she STILL raves about it being the best anywhere!| chicken shawarma| positive
Her sister had the baklava for dessert!| NULL| NULL
What a tastly, flaky treat!| NULL| positive
The staff are friendly and the decor was ethic and colorful.| staff| positive
The staff are friendly and the decor was ethic and colorful.| decor| positive
GO TO OPEN SESAME!!!| OPEN SESAME| positive
Holy Hummus!| Hummus| positive
– The food is here is incredible, though the quality is inconsistent during lunch.| food| positive
– The food is here is incredible, though the quality is inconsistent during lunch.| lunch| negative
Dinners have always been excellent, in terms of food quality.| Dinners| positive
The open sesame combo plate is a bargain for the heap of food given.| open sesame combo plate| positive
The open sesame combo plate is a bargain for the heap of food given.| open sesame combo plate| positive
The side of potatoes is to die for, as is the labne (yogurt dip).| side of potatoes| positive
The side of potatoes is to die for, as is the labne (yogurt dip).| labne (yogurt dip)| positive
Also, they serve THE best hummus in America, with a drizzle of fragrant olive oil (which, I believe is the traditional way)!| hummus| positive
Also, they serve THE best hummus in America, with a drizzle of fragrant olive oil (which, I believe is the traditional way)!| hummus| positive
The only drawback is the crowded seating and the slow service.| seating| negative
The only drawback is the crowded seating and the slow service.| service| negative
There have been several occasions when we&apos;ve just not gotten some side dishes we&apos;ve ordered.| NULL| negative
However, this place is a gem, and I won&apos;t stop going back.| place| positive
great beer| beer| positive
– My first time to dine at this restaurant was with my son and it was absolutely horrible!| restaurant| negative
We waited over 30 minutes for our drinks and over 1 1/2 hours for our food.| NULL| negative
I swore never to return for a warm beer and mediocre meal.| beer| negative
I swore never to return for a warm beer and mediocre meal.| meal| negative
HOWEVER, one Sunday afternoon my husband and I did go (although with my loud protests) and were pleasantly surprised.| NULL| positive
The band was very good and the service was attentive.| band| positive
The band was very good and the service was attentive.| service| positive
Outside in the area between the restaurant and the park, children were running around while their parents sipped wine.| NULL| NULL
We ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good.| shoe string onions| positive
We ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good.| goat cheese pizza| positive
We ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good.| grilled asparagus| positive
We ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good.| fried brie with fruit| positive
It was like dining at a completely different restaurant.| NULL| positive
We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).| beer| positive
We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).| NULL| positive
We did have the same waiter the second time, so maybe the service is spotty and our luck is good.| waiter| positive
Sunday afternoons there is a band playing and it is lots of fun.| band| positive
Seattle&apos;s BEST Winelist| Winelist| positive
– Ray&apos;s (suprisingly) has the city&apos;s BEST &amp; most diverse wine list.| wine list| positive
The sommelier is fantastic, down-to-earth, &amp; extremely knowlegable.| sommelier| positive
I would go back for the wine experience alone.| wine| positive
Nice job!| NULL| positive
NOT THE PLACE IT ONCE WAS| PLACE| negative
– It is sad to see a place that was once &quot;THE&quot; place to meet and eat for Bfast or Lunch, now be the place that is a big &quot;DONT BOTHER.&quot;| place| negative
The food is not what it once was (potions have seriously seen downsizing) prices have gone up, and the service is the worst I have experienced anywhere (including mainland Europe).| food| negative
The food is not what it once was (potions have seriously seen downsizing) prices have gone up, and the service is the worst I have experienced anywhere (including mainland Europe).| potions| negative
The food is not what it once was (potions have seriously seen downsizing) prices have gone up, and the service is the worst I have experienced anywhere (including mainland Europe).| service| negative
The food is not what it once was (potions have seriously seen downsizing) prices have gone up, and the service is the worst I have experienced anywhere (including mainland Europe).| food| negative
What may be interesting to most is the worst sevice/attitude comes from the owners of this establishment.| owners| negative
This establishment really made a marked decline after ( and this is recurring story ) the airing of FOOD TELEVISIONS &quot;DINERS, DRIVE-INS, AND DIVES&quot; hosted by Guy Fieri, in which Schooner or Later was subject of.| establishment| negative
Perhaps now, Scooner or Later falls into the &quot;Dive&quot; category.| Scooner or Later| negative
This is sad for what once was one of the best places you could ever eat.| NULL| negative
I hope one day Scooner or Later returns to what it once was.| Scooner or Later| negative
Untill this happens, my advice is to STAY AWAY.| NULL| negative
Open &amp; Cool Place with the Best Pizza and Coffee| Place| positive
Open &amp; Cool Place with the Best Pizza and Coffee| Pizza| positive
Open &amp; Cool Place with the Best Pizza and Coffee| Coffee| positive
– Mioposto has a very creative &amp; delicious pizza menu.| pizza menu| positive
– Mioposto has a very creative &amp; delicious pizza menu.| pizza menu| positive
The coffe is very good, too.| coffe| positive
Great open and friendly ambience.| ambience| positive
This place is charming and relaxing.| place| positive
The servers behind the counter are always friendly and helpful.| servers behind the counter| positive
It reminds me of those great little restaurants in San Francisco.| NULL| NULL
It&apos;s a great place to enjoy food and meet friends.| food| positive
It&apos;s a great place to enjoy food and meet friends.| place| positive
Old Reliable| NULL| positive
– After 12 years in Seattle Ray&apos;s rates as the place we always go back to.| Ray&apos;s| positive
Great food, spectacular location, and friendly service keep us coming back year after year.| food| positive
Great food, spectacular location, and friendly service keep us coming back year after year.| location| positive
Great food, spectacular location, and friendly service keep us coming back year after year.| service| positive
Enjoyed the food| food| positive
– First of all, I am not from Long Beach.| NULL| NULL
I was visiting SoCal a couple of months ago when the friend I was visiting decided to take me to this restaurant.| NULL| NULL
(She was actually going to take me to another mediterranean restaurant right across the street but they were not open yet even though it was a few minutes past their opening time.)| NULL| NULL
I liked it.| NULL| positive
Food was good and cheap.| Food| positive
Food was good and cheap.| Food| positive
I had the kafta plate and I enjoyed it.| kafta plate| positive
It was so much though that I could barely finish but I did, since it was delicious.| NULL| neutral
It was so much though that I could barely finish but I did, since it was delicious.| NULL| positive
Atmosphere was nice.| Atmosphere| positive
Service was kind of slow, our waitress took forever to give us our check even though it wasn&apos;t that busy.| Service| negative
Service was kind of slow, our waitress took forever to give us our check even though it wasn&apos;t that busy.| waitress| negative
Still I would recommend this place.| place| positive
BTW, I really like Long Beach.| NULL| NULL
It was one of the few places in SoCal where you would actually walk around and not have to take a car.| NULL| NULL
WOW!!!!!!!!| NULL| positive
– IT CANT GET ANY BETTER!!!!!| NULL| positive
WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW| FOOD| positive
WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW| PEOPLE| positive
WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW| NULL| positive
Great food with an awesome atmosphere!| food| positive
Great food with an awesome atmosphere!| atmosphere| positive
– Eggs, pancakes, potatoes, fresh fruit and yogurt -- everything they serve is delicious.| Eggs| positive
– Eggs, pancakes, potatoes, fresh fruit and yogurt -- everything they serve is delicious.| pancakes| positive
– Eggs, pancakes, potatoes, fresh fruit and yogurt -- everything they serve is delicious.| potatoes| positive
– Eggs, pancakes, potatoes, fresh fruit and yogurt -- everything they serve is delicious.| fresh fruit| positive
– Eggs, pancakes, potatoes, fresh fruit and yogurt -- everything they serve is delicious.| yogurt| positive
– Eggs, pancakes, potatoes, fresh fruit and yogurt -- everything they serve is delicious.| NULL| positive
The best place for a leisure Sunday breakfast amidst yachts, then take a stroll through the nearby Farmer&apos;s Market.| place| positive
great meal – the fish on the omikase platter was absolutely decadent -- there was none of the stringiness that sometimes accompanies fair sushi -- this fish was perfect!!!!| meal| positive
great meal – the fish on the omikase platter was absolutely decadent -- there was none of the stringiness that sometimes accompanies fair sushi -- this fish was perfect!!!!| fish on the omikase platter| positive
plus, i am allergic to rice, and the waitstaff was unbelievably accomodating -- didn&apos;t even bat an eye!| waitstaff| positive
and the waiter suggested a perfect sake!!| waiter| positive
and the waiter suggested a perfect sake!!| sake| positive
absolutely fabulous!!!| NULL| positive
Unbeatable sushi!| sushi| positive
Two thumbs up!| NULL| positive
I love sushi, and I have eaten it all over the world.| NULL| NULL
This is right up there with places in Tokyo as far as the freshness is concerned.| NULL| positive
Melt in your mouth nigiri and sashmi, and very tasty rolls too.| nigiri| positive
Melt in your mouth nigiri and sashmi, and very tasty rolls too.| sashmi| positive
Melt in your mouth nigiri and sashmi, and very tasty rolls too.| rolls| positive
Be sure to try the oyster roll.| oyster roll| positive
splendid| NULL| positive
– How to describe the best sushi in NYC: hmmmm, delicious, amazing, fantastic, suculent, perfect, nah, all of the above.| sushi| positive
I can&apos;t saybenough good things about this restaurant, and I can&apos;t wait for my next several visits.| restaurant| positive
The best Chuwam Mushi I have ever had.| Chuwam Mushi| positive
Perfect on a cold day.| NULL| positive
$6 with tip.| NULL| positive
Perfection.| NULL| positive
Good Sushi, High Price | Sushi| positive
Good Sushi, High Price | Sushi| negative
One of the best Sushi place in town.| Sushi place| positive
The house special roll is really good.| house special roll| positive
On weekends, you might have to wait for couple hours.| NULL| neutral
However, they do take your cellphone numbers so that you can go hang out somewhere else till they call you up on your cellphone.| NULL| positive
A cozy spot for 2| spot| positive
– I can&apos;t believe Murphy&apos;s has been around for over 25 years, amazing.| Murphy&apos;s| positive
That&apos;s a huge compliment, especially in the fickled restaurant business, ...enough already!| NULL| positive
Brunch at Murphy&apos;s is to die for, my specialty... egg white omelet, the food is always freshly prepared.| Brunch| positive
Brunch at Murphy&apos;s is to die for, my specialty... egg white omelet, the food is always freshly prepared.| food| positive
Brunch at Murphy&apos;s is to die for, my specialty... egg white omelet, the food is always freshly prepared.| egg white omelet| positive
It&apos;s the perfect spot for a romantic date for 2 or a secret rendezvous!| spot| positive
It&apos;s the perfect spot for a romantic date for 2 or a secret rendezvous!| spot| positive
Save room for  scrumptious desserts.| desserts| positive
The restaurant offers an extensive wine list and an ambiance you won&apos;t forget!| wine list| positive
The restaurant offers an extensive wine list and an ambiance you won&apos;t forget!| ambiance| positive
I guarantee you won&apos;t be disappointed, there&apos;s also valet parking.| NULL| positive
I guarantee you won&apos;t be disappointed, there&apos;s also valet parking.| NULL| positive
Addicting!| NULL| positive
– Best Mexican place for lunch in the financial district.| Mexican place| positive
Love the enchiladas and chicken soup - and be sure to check out their specials.| enchiladas| positive
Love the enchiladas and chicken soup - and be sure to check out their specials.| chicken soup| positive
Love the enchiladas and chicken soup - and be sure to check out their specials.| specials| positive
The cooks have been at the restaurant for years and cook family recipes.| cooks| positive
Can get busy on Fridays for a table but once seated, the service is so efficient you can be in and out of there quickly.| service| positive
I went there with a friend from out of town... and we were both very impressed!| NULL| positive
Went on a Monday night, so there was no wait for a table.| NULL| NULL
The sushi was excellent and the wait staff was quick.| sushi| positive
The sushi was excellent and the wait staff was quick.| wait staff| positive
The price was right too.| NULL| positive
The atmosphere was just okay.| atmosphere| neutral
Space was limited, but the food made up for it.| Space| negative
Space was limited, but the food made up for it.| food| positive
I&apos;d go back there in a heartbeat.| NULL| positive
Should have gone to Trader Joe&apos;s and had frozen pizza :(| NULL| NULL
– My family went on a midweek evening to have dinner.| NULL| NULL
The restaurant was 80 % full and there was a sign posted &quot;wait to be seated.&quot;| NULL| NULL
Well I guess it&apos;s hard to be seated when one is invisible to the staff.| staff| negative
We stood there for 10 minutes while employees walked back and forth ignoring us.| employees| negative
