"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"3367","Best of all is the warm vibe, the owner is super friendly and service is fast.","vibe","positive","24","28","service","positive"
"","","owner","positive","34","39","ambience","positive"
"","","service","positive","62","69","",""
"1210","This isn't a value joint.","","","","","price","negative"
"2191","Faan's got a great concept but a little rough on the delivery.","delivery","negative","53","61","anecdotes/miscellaneous","positive"
"","","","","","","service","negative"
"270","From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","food","positive","20","24","food","positive"
"","","atmosphere","positive","38","48","service","positive"
"","","service","positive","66","73","ambience","positive"
"638","Great food at REASONABLE prices, makes for an evening that can't be beat!","food","positive","6","10","food","positive"
"","","prices","positive","25","31","price","positive"
"500","Look foward to trying the Ruben upon returning.","","","","","anecdotes/miscellaneous","positive"
"1108","The only other steakhouse that seems to hold a candle to Roth's is the Strip House.","","","","","anecdotes/miscellaneous","neutral"
"3294","We usually go to the Chart House to celebrate a birthday or anniversary.","","","","","anecdotes/miscellaneous","neutral"
"388","this little place has a cute interior decor and affordable city prices.","interior decor","positive","29","43","ambience","positive"
"","","prices","positive","64","70","price","positive"
"3070","You'll adore it.","","","","","anecdotes/miscellaneous","positive"
"3373","Two words: Free wine.","wine","positive","16","20","price","positive"
"425","The price is reasonable although the service is poor.","price","positive","4","9","service","negative"
"","","service","negative","37","44","price","positive"
"3192","The quantity is also very good, you will come out satisfied.","quantity","positive","4","12","food","positive"
"1098","I have been to Roth's twice and both times were very disappointing.","","","","","anecdotes/miscellaneous","negative"
"2173","Worth visiting the 1st Ave spot because it is the original store.","","","","","anecdotes/miscellaneous","positive"
"391","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","sushi","neutral","118","123","anecdotes/miscellaneous","neutral"
"","","sushi bar","neutral","146","155","",""
"263","Raga's is a romantic, cozy restaurant.","","","","","ambience","positive"
"2384","The fried rice is amazing here.","fried rice","positive","4","14","food","positive"
"2962","Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","mussels","positive","42","49","food","positive"
"","","puff pastry goat cheese","positive","51","74","",""
"","","salad with a delicious dressing","positive","79","110","",""
"","","hanger steak au poivre","positive","118","140","",""
"","","courses","neutral","6","13","",""
"3404","it's a perfect place to have a amanzing indian food.","indian food","positive","40","51","food","positive"
"2599","The place is so cool and the service is prompt and curtious.","service","positive","29","36","service","positive"
"","","place","positive","4","9","ambience","positive"
"673","At the end you're left with a mild broth with noodles that you can slurp out of a cup.","broth with noodles","positive","35","53","food","positive"
"648","I just wonder how you can have such a delicious meal for such little money.","meal","positive","48","52","price","positive"
"","","money","positive","69","74","food","positive"
"863","The food was delicious but do not come here on a empty stomach.","food","conflict","4","8","food","conflict"
"1623","The wine list is excellent.","wine list","positive","4","13","food","positive"
"2177","so garantuan that you can't fit them in a toaster.","","","","","food","positive"
"430","Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","Thai food","positive","84","93","food","positive"
"1101","They wouldnt even let me finish my glass of wine before offering another.","glass of wine","neutral","35","48","service","positive"
"1823","I highly recommend the Sophia pizza.","","","","","anecdotes/miscellaneous","positive"
"324","Whem asked, we had to ask more detailed questions so that we knew what the specials were.","specials","neutral","75","83","service","negative"
"2783","This is a consistently great place to dine for lunch or dinner.","lunch","neutral","47","52","anecdotes/miscellaneous","positive"
"","","dinner","neutral","56","62","",""
"","","dine","positive","38","42","",""
"2983","Nice atmosphere, the service was very pleasant and the desert was good.","atmosphere","positive","5","15","food","positive"
"","","service","positive","21","28","service","positive"
"","","desert","positive","55","61","ambience","positive"
"66","All the people that I bring there go back on their own and bring THEIR friends!","","","","","anecdotes/miscellaneous","positive"
"627","After really enjoying ourselves at the bar we sat down at a table and had dinner.","bar","positive","39","42","anecdotes/miscellaneous","positive"
"","","table","neutral","60","65","",""
"","","dinner","neutral","74","80","",""
"3219","Fabulous service, fantastic food, and a chilled out atmosphere and environment.","service","positive","9","16","food","positive"
"","","food","positive","28","32","service","positive"
"","","atmosphere","positive","52","62","ambience","positive"
"","","environment","positive","67","78","",""
"2934","Not what I wanted to hear.","","","","","anecdotes/miscellaneous","negative"
"2787","Try the lasagnette appetizer.","lasagnette appetizer","positive","8","28","food","positive"
"825","Pricey, but worth a try, at least once.","","","","","price","negative"
"","","","","","","anecdotes/miscellaneous","positive"
"197","I've been there a few times, and I usually end up sitting next to some pretty odd people.","","","","","anecdotes/miscellaneous","negative"
"604","I liked the beer selection!","beer selection","positive","12","26","food","positive"
"2911","Great food, good size menu, great service and an unpretensious setting.","food","positive","6","10","food","positive"
"","","menu","positive","22","26","service","positive"
"","","service","positive","34","41","ambience","positive"
"","","setting","positive","63","70","",""
"3074","Go here for a romantic dinner but not for an all out wow dining experience.","dinner","positive","23","29","anecdotes/miscellaneous","conflict"
"","","dining","positive","57","63","",""
"1479","Can't wait to go back.","","","","","anecdotes/miscellaneous","positive"
"1074","I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.","Dosa","neutral","17","21","anecdotes/miscellaneous","neutral"
"912","Wine list selection is good and wine-by-the-glass was generously filled to the top.","Wine list selection","positive","0","19","food","positive"
"","","wine-by-the-glass","positive","32","49","",""
"728","With the great variety on the menu , I eat here often and never get bored .","menu","positive","30","34","food","positive"
"2925","The menu is very limited - i think we counted 4 or 5 entrees.","menu","negative","4","8","food","negative"
"","","entrees","negative","53","60","",""
"495","If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","","","","","anecdotes/miscellaneous","positive"
"3436","The menu is limited but almost all of the dishes are excellent.","menu","negative","4","8","food","conflict"
"","","dishes","positive","42","48","",""
"3273","Not too crazy about their sake martini.","sake martini","negative","26","38","food","negative"
"1215","Great bagels, spreads and a good place to hang out in.","bagels","positive","6","12","food","positive"
"","","spreads","positive","14","21","anecdotes/miscellaneous","positive"
"183","The service varys from day to day- sometimes they're very nice, and sometimes not.","service","conflict","4","11","service","conflict"
"2511","whoever the jazz duo was, they were on POINT.","","","","","ambience","positive"
"282","One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.","table","neutral","90","95","service","positive"
"1562","This place is a great bargain.","","","","","price","positive"
"1712","We happened upon this place purely by accident and were pleased with the results.","","","","","anecdotes/miscellaneous","positive"
"3249","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","food","positive","19","23","food","positive"
"","","","","","","anecdotes/miscellaneous","negative"
"2052","Deff recimmend Bukhara they also have opened two new locations guess ill try them out.","","","","","anecdotes/miscellaneous","positive"
"3207","We always have a delicious meal and always leave feeling satisfied.","meal","positive","27","31","food","positive"
"672","Dip the ingredients in with your chopsticks, swirl them around, and eat.","ingredients","neutral","8","19","food","neutral"
"","","chopsticks","neutral","33","43","",""
"2972","First went here to enjoy their garden terrace.","garden terrace","positive","31","45","ambience","positive"
"1903","My husbands was perfect, my was well done and dry.","","","","","food","conflict"
"2549","Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","","","","","service","positive"
"1755","The pizza was pretty good and huge.","pizza","positive","4","9","food","positive"
"2890","Sapphire is the only Indian restaurant I go to when I'm in NYC.","","","","","anecdotes/miscellaneous","positive"
"2277","The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","cuisine","neutral","4","11","food","neutral"
"2308","I heartily recommend.","","","","","anecdotes/miscellaneous","positive"
"51","Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.","","","","","anecdotes/miscellaneous","positive"
"3680","I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.","atmosphere","positive","50","60","ambience","positive"
"3155","They are often crowded on the weekends but they are efficient and accurate with their service.","service","positive","86","93","service","positive"
"","","crowded","negative","15","22","ambience","negative"
"1688","All my co-workers were amazed at how small the dish was.","dish","negative","47","51","food","negative"
"598","The atmosphere is unheralded, the service impecible, and the food magnificant.","atmosphere","positive","4","14","food","positive"
"","","service","positive","34","41","service","positive"
"","","food","positive","61","65","ambience","positive"
"2926","We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","grilled branzino","negative","24","40","food","negative"
"3083","The wait staff is friendly, and the food has gotten better and better!","wait staff","positive","4","14","food","positive"
"","","food","positive","36","40","service","positive"
"1388","This place, which is only a few months old, is perhaps Queens' biggest secret!","","","","","anecdotes/miscellaneous","positive"
"2977","It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","vibe","positive","44","48","food","positive"
"","","French food","positive","76","87","ambience","conflict"
"","","packed","negative","16","22","",""
"1574","This place is so much fun.","","","","","anecdotes/miscellaneous","positive"
"498","I was glad I did.","","","","","anecdotes/miscellaneous","positive"
"2604","Right off the L in Brooklyn this is a nice cozy place with good pizza.","pizza","positive","64","69","food","positive"
"","","place","positive","48","53","ambience","positive"
"473","I've never been treated so rudely.","","","","","service","negative"
"380","I'll be back soon.","","","","","anecdotes/miscellaneous","positive"
"2960","Le Pere Pinard has a $15 pre-theater menu that is outstanding.","pre-theater menu","positive","25","41","food","positive"
"322","Went inside and I started to get excited.","","","","","anecdotes/miscellaneous","positive"
"1383","I also ordered for delivery and the restaurant forgot half the order.","delivery","negative","19","27","service","negative"
"","","order","negative","63","68","",""
"892","Our server checked on us maybe twice during the entire meal.","server","negative","4","10","service","negative"
"","","meal","neutral","55","59","",""
"2296","However, it is jus too good to not praise it.","","","","","anecdotes/miscellaneous","positive"
"868","We have been to Montparnasse many times and return often for good reason.","","","","","anecdotes/miscellaneous","positive"
"2936","The strong scents coming from the left and right of me negatively affected my taste buds.","scents","negative","11","17","anecdotes/miscellaneous","negative"
"3423","We had the lobster sandwich and it was FANTASTIC.","lobster sandwich","positive","11","27","food","positive"
"154","It's somewhere you can eat and be happy.","","","","","anecdotes/miscellaneous","positive"
"591","If you wrote a bad review, it's because you don't understand what Rao's is all about.","","","","","anecdotes/miscellaneous","positive"
"1197","Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","check","negative","143","148","service","negative"
"2061","but overall i give it a 10","","","","","anecdotes/miscellaneous","positive"
"2274","Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","Spider Roll","conflict","11","22","food","positive"
"","","price","positive","124","129","price","positive"
"","","shell crab","positive","67","77","",""
"2804","Deep Fried Skewers are good and still rare to find in NYC.","Deep Fried Skewers","positive","0","18","food","positive"
"194","I have tried to make reservations, but both times, the hostess didn't have my name.","reservations","neutral","21","33","service","negative"
"","","hostess","negative","55","62","",""
"148","I also recommend the rice dishes or the different varieties of congee (rice porridge).","rice dishes","positive","21","32","food","positive"
"","","congee (rice porridge)","positive","63","85","",""
"2747","Their tuna tartar appetizer is to die for.","tuna tartar appetizer","positive","6","27","food","positive"
"2845","This was one of the BEST restaurants I've ever been to.","","","","","anecdotes/miscellaneous","positive"
"187","This restaurant used to be pretty decent.","","","","","anecdotes/miscellaneous","negative"
"856","An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","Food","conflict","25","29","food","positive"
"","","chef","positive","114","118","",""
"","","fish dishes","positive","186","197","",""
"","","soups","positive","202","207","",""
"","","kitchen","positive","134","141","",""
"","","cuisine","positive","104","111","",""
"2033","If you love wine and cheese and delicious french fare, you'll love Artisanal!","wine","positive","12","16","food","positive"
"","","french fare","positive","42","53","",""
"","","cheese","positive","21","27","",""
"1402","I love Indian food and consider myself to be quite an expert on it.","Indian food","positive","7","18","food","positive"
"439","Some baby pizzas get their wish.","baby pizzas","neutral","5","16","food","neutral"
"3360","Plenty of choices to make your own creation.","","","","","food","positive"
"2949","It was tiny and I felt like I was eating in someone's living room.","","","","","ambience","negative"
"570","I was there on sat.","","","","","anecdotes/miscellaneous","neutral"
"2053","Overall A oh ya even though there is waiting it is deff worth it","waiting","negative","37","44","anecdotes/miscellaneous","positive"
"","","","","","","service","negative"
"3316","The lava cake dessert was incredible and I recommend it.","lava cake dessert","positive","4","21","food","positive"
"433","VT is what baby pizzas hope to be when they grow up.","baby pizzas","neutral","11","22","anecdotes/miscellaneous","positive"
"738","From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","service","negative","18","25","food","negative"
"","","food","negative","40","44","service","negative"
"","","managers","negative","81","89","",""
"1549","Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.","food","positive","80","84","food","positive"
"","","food","positive","152","156","price","positive"
"1798","The last time I went we were seated at a table in a corridor next to the kitchen.","table","negative","41","46","anecdotes/miscellaneous","negative"
"2941","good selection of wines ranging from affordable to high end.","selection of wines","positive","5","23","food","positive"
"","","","","","","price","conflict"
"362","Nice restaurant overall, with classic upscale Italian decor.","Italian decor","positive","46","59","ambience","positive"
"2921","Not impressed with the food.","food","negative","23","27","food","negative"
"1909","The entire dining experience was wonderful!","dining experience","positive","11","28","anecdotes/miscellaneous","positive"
"1878","The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.","wine selection","positive","4","18","food","positive"
"","","reservation","neutral","101","112","anecdotes/miscellaneous","positive"
"858","Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.","Service","positive","0","7","service","positive"
"","","maitre","positive","91","97","",""
"","","reservation","negative","71","82","",""
"3376","Order the panang duck, it's fantastic.","panang duck","positive","10","21","food","positive"
"173","Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","Food","conflict","0","4","food","conflict"
"","","raw vegatables","negative","76","90","",""
"1836","Other than the crappy service from two individuals, it's great.","service","negative","22","29","service","conflict"
"1703","What more can you ask for?","","","","","anecdotes/miscellaneous","positive"
"3564","Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.","","","","","anecdotes/miscellaneous","neutral"
"1404","They have authentic Indian at amazin prices.","Indian","positive","20","26","food","positive"
"","","prices","positive","37","43","price","positive"
"645","You are treated just like royality.","","","","","service","positive"
"3288","There's nice and quiet, small but enough for 6 (or more).","","","","","ambience","conflict"
"1819","Ambiance- relaxed and stylish.","Ambiance","positive","0","8","ambience","positive"
"1144","I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.","","","","","anecdotes/miscellaneous","negative"
"2639","Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","BBQ Salmon","positive","30","40","food","positive"
"","","Sea Bass","positive","42","50","",""
"","","Crispy Duck","positive","55","66","",""
"1474","Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients","positive","20","31","food","negative"
"","","ingredients","positive","48","59","",""
"","","pizza","negative","80","85","",""
"","","crust","neutral","122","127","",""
"1553","Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","","","","","ambience","negative"
"2059","and yes Dal Bukhara is so dam good and so are all the kababs.","kababs","positive","54","60","food","positive"
"","","Dal Bukhara","positive","8","19","",""
"926","I look forward to eating here again","eating","positive","18","24","anecdotes/miscellaneous","positive"
"2385","I've been coming here as a child and always come back for the taste.","taste","positive","62","67","food","positive"
"2498","Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.","meal","positive","99","103","food","positive"
"","","price","positive","114","119","ambience","positive"
"","","","","","","price","positive"
"2469","A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","glass of prosecco","positive","29","46","food","positive"
"","","mussels","positive","56","63","",""
"","","glass of Leaping Lizard","positive","2","25","",""
"567","Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","Food","neutral","0","4","food","negative"
"","","creme brulee","negative","21","33","",""
"","","sugar","negative","50","55","",""
"3517","The food always tastes fresh and served promptly.","food","positive","4","8","food","positive"
"","","served","positive","33","39","service","positive"
"2069","I know because I live nearby.","","","","","anecdotes/miscellaneous","neutral"
"1599","The pizza here is delicious.","pizza","positive","4","9","food","positive"
"2860","My entire family was horrified.","","","","","anecdotes/miscellaneous","negative"
"1092","On a monthly basis my friends and I get together and have a girls night out.","","","","","anecdotes/miscellaneous","neutral"
"2548","Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","Pizza","positive","0","5","food","positive"
"","","delivery","positive","80","88","service","positive"
"","","garlic knots","positive","10","22","",""
"759","For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","chinese food","positive","10","22","food","positive"
"3175","But who says Murray's is anything about service.","service","neutral","40","47","service","neutral"
"2209","This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","food","negative","104","108","food","negative"
"","","","","","","anecdotes/miscellaneous","positive"
"2717","I have NEVER been disappointed in the Red Eye.","","","","","anecdotes/miscellaneous","positive"
"1352","Hats off to the chef.","chef","positive","16","20","food","positive"
"1543","This should have been done in a back room - away from customers.","","","","","anecdotes/miscellaneous","negative"
"3537","Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","Service","negative","0","7","anecdotes/miscellaneous","positive"
"","","teapot","positive","138","144","service","negative"
"3213","Glad you have the luxury to throw out paying customers.","","","","","anecdotes/miscellaneous","neutral"
"1743","The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","pizza","positive","4","9","food","positive"
"","","fresh mozzarella","positive","34","50","",""
"","","cheese","negative","90","96","",""
"1321","Its an excellent place to relax and the food is one of the best in the city of New York.","place","positive","17","22","food","positive"
"","","food","positive","40","44","ambience","positive"
"2907","service is friendly, and never had a problem walking in and getting a table.","service","positive","0","7","service","positive"
"","","getting a table","positive","60","75","",""
"1890","The atmosphere was crowded but it was a great bistro-type vibe.","atmosphere","conflict","4","14","ambience","conflict"
"","","bistro-type vibe","positive","46","62","",""
"2675","Check it out","","","","","anecdotes/miscellaneous","positive"
"2588","First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","waitress","negative","15","23","service","negative"
"","","tables","neutral","101","107","",""
"2234","Don't go.","","","","","anecdotes/miscellaneous","negative"
"3130","The food was bland oily.","food","negative","4","8","food","negative"
"3285","But they do.","","","","","anecdotes/miscellaneous","neutral"
"709","What is even better, is that the prices are very affordable as well, and the food is really good.","prices","positive","33","39","food","positive"
"","","food","positive","77","81","price","positive"
"1198","The fish is fresh but the variety of fish is nothing out of ordinary.","fish","positive","4","8","food","conflict"
"","","variety of fish","negative","26","41","",""
"2380","Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).","","","","","anecdotes/miscellaneous","neutral"
"2250","Suan has challenged this loyalty.","","","","","anecdotes/miscellaneous","neutral"
"2302","Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","pesto pizza","positive","23","34","food","positive"
"","","house salad","positive","40","51","",""
"","","bottle of wine","positive","64","78","",""
"","","meal","positive","13","17","",""
"1110","And Kruno, the beverage manager is the best bartender I have yet to come across.","bartender","positive","44","53","service","positive"
"","","beverage manager","positive","15","31","",""
"973","Ambiance and music funky, which I enjoy.","Ambiance","positive","0","8","ambience","positive"
"","","music","positive","13","18","",""
"2132","The food, drinks and service are clearly among the best in the city.","food","positive","4","8","food","positive"
"","","drinks","positive","10","16","service","positive"
"","","service","positive","21","28","",""
"231","I went there in late afternoon for some bite size food and refleshment with my date.","food","neutral","50","54","anecdotes/miscellaneous","neutral"
"","","refleshment","neutral","59","70","",""
"1184","It's a really great deal, considering we got full off of four dollars.","","","","","price","positive"
"250","I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","ambiance","positive","82","90","food","positive"
"","","service","positive","108","115","ambience","positive"
"","","foods","positive","217","222","service","positive"
"","","tastes","positive","228","234","",""
"","","sommlier","positive","128","136","",""
"","","captain","positive","163","170","",""
"","","back waiters","positive","175","187","",""
"227","Went with mommy (the only person who could afford taking me here).","","","","","anecdotes/miscellaneous","neutral"
"3653","My friends and I were on vacation in NY and was referred to Chance by a friend.","","","","","anecdotes/miscellaneous","neutral"
"2988","Last time I went here, the waitress didn't come back after taking our order.","waitress","negative","27","35","service","negative"
"3092","Try the tandoori salmon!","tandoori salmon","positive","8","23","food","positive"
"1166","I am completely hooked on this place, it is ridiculous.","","","","","anecdotes/miscellaneous","positive"
"3686","Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","atmosphere","positive","15","25","anecdotes/miscellaneous","negative"
"","","","","","","ambience","positive"
"1922","Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","space","negative","12","17","service","positive"
"","","service","positive","55","62","ambience","negative"
"2978","Have recommended the place to friends, always gets good response.","","","","","anecdotes/miscellaneous","positive"
"2139","We will return many times for this oasis in mid-town.","","","","","anecdotes/miscellaneous","positive"
"2454","I love the atmorphere @ peep!","atmorphere","positive","11","21","ambience","positive"
"1881","Enjoy!","","","","","anecdotes/miscellaneous","positive"
"633","We weren't!","","","","","anecdotes/miscellaneous","neutral"
"268","This is one of my favorite restaurants and it is not to be missed.","","","","","anecdotes/miscellaneous","positive"
"3613","(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).","","","","","anecdotes/miscellaneous","neutral"
"1531","It could have been handled better.","","","","","anecdotes/miscellaneous","negative"
"603","The service was attentive and her suggestions of menu items was right on the mark.","service","positive","4","11","service","positive"
"","","menu items","positive","49","59","",""
"678","The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.","three course meal","positive","31","48","food","positive"
"2690","Please be aware that it's CASH or AMEX only!","","","","","anecdotes/miscellaneous","neutral"
"1830","Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!","Pizza","positive","202","207","food","positive"
"1408","It's a rather cramped and busy restaurant and it closes early.","","","","","ambience","negative"
"2521","The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","environment","positive","4","15","food","negative"
"","","food","negative","37","41","service","negative"
"","","service","negative","59","66","ambience","positive"
"1918","We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","crawfish boiled","positive","7","22","food","positive"
"2930","I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.","reservation","neutral","55","66","anecdotes/miscellaneous","neutral"
"2166","They were served warm and had a soft fluffy interior.","","","","","food","positive"
"887","What came to our table was burned beyond recognition and stringy.","table","neutral","17","22","food","negative"
"2448","I had the Pad Thai and the noodles were sticky.","Pad Thai","negative","10","18","food","negative"
"","","noodles","negative","27","34","",""
"3244","So I've never actually been to M proper, but I've had it delivered a few times.","delivered","neutral","57","66","anecdotes/miscellaneous","neutral"
"1478","Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","values for your money","positive","80","101","price","positive"
"1413","Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","lunch","positive","53","58","food","positive"
"3129","The hostess is rude to the point of being offensive.","hostess","negative","4","11","service","negative"
"2271","If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","food","positive","35","39","food","positive"
"","","wait building","negative","88","101","service","negative"
"1554","A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","corridor","negative","9","17","ambience","negative"
"","","space","negative","34","39","",""
"","","counters","negative","79","87","",""
"","","counter","negative","148","155","",""
"","","entrees","neutral","170","177","",""
"2306","The food is great.","food","positive","4","8","food","positive"
